2025-05-01T00:43:11
Configurations(Methods):
Name,Touch Interfaces
config01,"Button00, TS05"
config02,"Slider00, TS15, TS14, TS13, TS12, TS01"
Logs:
"config01:Button00:Measurement Value",Baseline,Threshold,Touch ON/OFF Difference,Hysteresis,Status,"config02:Slider00:Status",Threshold,Resolution,TS15:Measurement Value,TS14:Measurement Value,TS13:Measurement Value,TS12:Measurement Value,TS01:Measurement Value
11607,11585,1450,22,72,0,-,-,-,-,-,-,-,-
11634,11585,1450,49,72,0,65535,1807,100,11507,11520,11625,11554,11718
11630,11585,1450,45,72,0,65535,1807,100,11516,11506,11664,11582,11695
11640,11585,1450,55,72,0,65535,1807,100,11521,11523,11648,11590,11673
11666,11585,1450,81,72,0,65535,1807,100,11516,11525,11647,11628,11711
13668,11585,1450,2083,72,1,65535,1807,100,11491,11527,11643,11646,11705
13805,11585,1450,2220,72,1,65535,1807,100,11544,11538,11661,11645,11694
11719,11585,1450,134,72,0,65535,1807,100,11539,11502,11640,11605,11659
11637,11585,1450,52,72,0,65535,1807,100,11533,11504,11603,11603,11653
13011,11585,1450,1426,72,0,65535,1807,100,11524,11508,11624,11645,11698
13698,11585,1450,2113,72,1,65535,1807,100,11574,11524,11683,11644,11727
12491,11585,1450,906,72,1,-,-,-,-,-,-,-,-
11601,11585,1450,16,72,0,65535,1807,100,11530,11527,11641,11596,11650
11603,11585,1450,18,72,0,-,-,-,-,-,-,-,-
11621,11585,1450,36,72,0,65535,1807,100,11546,11514,11644,11583,11677
11601,11585,1450,16,72,0,65535,1807,100,11513,11504,11641,11596,11637
11604,11585,1450,19,72,0,65535,1807,100,11528,11506,11648,11583,11690
11617,11585,1450,32,72,0,65535,1807,100,11509,11502,11603,11587,11686
11589,11585,1450,4,72,0,65535,1807,100,11509,11493,11635,11592,11643
11586,11585,1450,1,72,0,65535,1807,100,11503,11501,11647,11583,11679
11587,11585,1450,2,72,0,65535,1807,100,11518,11491,11620,11595,11656
11606,11585,1450,21,72,0,65535,1807,100,11530,11478,11625,11612,11657
11618,11585,1450,33,72,0,65535,1807,100,11495,11501,11632,11587,11604
11614,11585,1450,29,72,0,65535,1807,100,11503,11511,11626,11603,11653
-,-,-,-,-,-,65535,1807,100,11503,11512,11625,11607,11663
11613,11585,1450,28,72,0,65535,1807,100,11505,11495,11636,11590,11646
11612,11585,1450,27,72,0,65535,1807,100,11514,11501,11620,11578,11640
11599,11585,1450,14,72,0,65535,1807,100,11535,11510,11628,11584,11643
11577,11585,1450,-8,72,0,65535,1807,100,11527,11495,11603,11541,11656
11581,11585,1450,-4,72,0,65535,1807,100,11503,11518,11597,11576,11666
11573,11585,1450,-12,72,0,65535,1807,100,11508,11511,11636,11552,11635
11602,11585,1450,17,72,0,65535,1807,100,11533,11500,11612,11585,11599
11604,11585,1450,19,72,0,65535,1807,100,11512,11491,11585,11576,11591
11601,11585,1450,16,72,0,-,-,-,-,-,-,-,-
11591,11585,1450,6,72,0,-,-,-,-,-,-,-,-
-,-,-,-,-,-,65535,1807,100,11514,11485,11610,11571,11658
11593,11585,1450,8,72,0,65535,1807,100,11489,11479,11599,11591,11636
11568,11585,1450,-17,72,0,-,-,-,-,-,-,-,-
11578,11585,1450,-7,72,0,65535,1807,100,11476,11488,11569,11590,11644
11592,11585,1450,7,72,0,65535,1807,100,11508,11477,11575,11583,11683
11598,11585,1450,13,72,0,65535,1807,100,11519,11486,11604,11609,11688
11589,11585,1450,4,72,0,65535,1807,100,11510,11538,11610,11590,11683
11579,11585,1450,-6,72,0,65535,1807,100,11511,11517,11627,11594,11662
11587,11585,1450,2,72,0,65535,1807,100,11509,11548,11625,11555,11653
11586,11585,1450,1,72,0,65535,1807,100,11511,11514,11591,11556,11639
11603,11585,1450,18,72,0,65535,1807,100,11506,11511,11606,11560,11612
11608,11585,1450,23,72,0,65535,1807,100,11502,11493,11587,11568,11639
11596,11607,1450,-11,72,0,65535,1807,100,11495,11487,11594,11579,11646
11595,11607,1450,-12,72,0,65535,1807,100,11492,11486,11584,11587,11642
11598,11607,1450,-9,72,0,65535,1807,100,11481,11480,11596,11593,11614
11598,11607,1450,-9,72,0,65535,1807,100,11492,11472,11605,11608,11577
11584,11607,1450,-23,72,0,-,-,-,-,-,-,-,-
11591,11607,1450,-16,72,0,65535,1807,100,11503,11482,11623,11542,11639
11597,11607,1450,-10,72,0,65535,1807,100,11507,11478,11628,11568,11657
11578,11607,1450,-29,72,0,65535,1807,100,11501,11483,11623,11545,11641
11582,11607,1450,-25,72,0,65535,1807,100,11514,11485,11595,11598,11648
11571,11607,1450,-36,72,0,65535,1807,100,11507,11493,11604,11579,11656
11584,11607,1450,-23,72,0,65535,1807,100,11518,11491,11618,11624,11660
11593,11607,1450,-14,72,0,65535,1807,100,11510,11483,11637,11592,11659
11590,11607,1450,-17,72,0,65535,1807,100,11521,11503,11658,11566,11643
11593,11607,1450,-14,72,0,65535,1807,100,11517,11504,11644,11584,11663
11608,11607,1450,1,72,0,65535,1807,100,11530,11498,11652,11579,11670
11610,11607,1450,3,72,0,65535,1807,100,11506,11484,11628,11572,11684
11607,11607,1450,0,72,0,65535,1807,100,11498,11497,11634,11582,11685
11605,11607,1450,-2,72,0,-,-,-,-,-,-,-,-
11602,11607,1450,-5,72,0,65535,1807,100,11506,11501,11612,11587,11621
11614,11607,1450,7,72,0,65535,1807,100,11506,11504,11578,11610,11619
11600,11607,1450,-7,72,0,65535,1807,100,11522,11502,11622,11614,11674
11603,11607,1450,-4,72,0,65535,1807,100,11527,11503,11636,11615,11683
11618,11607,1450,11,72,0,65535,1807,100,11532,11491,11628,11571,11678
11619,11607,1450,12,72,0,65535,1807,100,11503,11491,11611,11586,11678
11625,11607,1450,18,72,0,65535,1807,100,11507,11496,11596,11571,11681
11629,11607,1450,22,72,0,65535,1807,100,11516,11497,11625,11618,11696
11641,11607,1450,34,72,0,65535,1807,100,11523,11504,11635,11599,11683
11661,11607,1450,54,72,0,65535,1807,100,11521,11496,11631,11606,11635
11671,11607,1450,64,72,0,65535,1807,100,11530,11506,11635,11609,11632
11687,11607,1450,80,72,0,65535,1807,100,11481,11492,11634,11595,11650
11882,11607,1450,275,72,0,65535,1807,100,11526,11492,11632,11569,11665
12588,11607,1450,981,72,0,65535,1807,100,11514,11504,11607,11596,11691
13390,11607,1450,1783,72,0,65535,1807,100,11528,11509,11613,11637,11706
13564,11607,1450,1957,72,1,65535,1807,100,11541,11556,11624,11625,11715
13695,11607,1450,2088,72,1,65535,1807,100,11533,11524,11665,11642,11705
13713,11607,1450,2106,72,1,65535,1807,100,11548,11517,11601,11634,11725
13722,11607,1450,2115,72,1,65535,1807,100,11543,11578,11629,11627,11709
13734,11607,1450,2127,72,1,65535,1807,100,11544,11556,11654,11639,11725
13731,11607,1450,2124,72,1,65535,1807,100,11511,11533,11655,11634,11691
13665,11607,1450,2058,72,1,65535,1807,100,11499,11525,11630,11594,11676
13744,11607,1450,2137,72,1,65535,1807,100,11524,11513,11682,11614,11697
13761,11607,1450,2154,72,1,65535,1807,100,11506,11522,11688,11631,11677
13761,11607,1450,2154,72,1,65535,1807,100,11514,11563,11671,11659,11714
13417,11607,1450,1810,72,1,-,-,-,-,-,-,-,-
12409,11607,1450,802,72,1,65535,1807,100,11520,11515,11621,11638,11689
12062,11607,1450,455,72,0,-,-,-,-,-,-,-,-
11807,11607,1450,200,72,0,65535,1807,100,11522,11508,11606,11589,11648
11691,11607,1450,84,72,0,65535,1807,100,11532,11493,11611,11614,11681
11633,11607,1450,26,72,0,65535,1807,100,11512,11483,11635,11578,11680
11617,11607,1450,10,72,0,65535,1807,100,11505,11479,11632,11557,11674
11595,11607,1450,-12,72,0,65535,1807,100,11513,11482,11636,11590,11660
11606,11607,1450,-1,72,0,65535,1807,100,11535,11548,11625,11598,11671
11605,11607,1450,-2,72,0,65535,1807,100,11516,11525,11625,11575,11666
11602,11607,1450,-5,72,0,-,-,-,-,-,-,-,-
11674,11607,1450,67,72,0,65535,1807,100,11501,11489,11626,11619,11630
12227,11607,1450,620,72,0,-,-,-,-,-,-,-,-
12801,11607,1450,1194,72,0,65535,1807,100,11489,11488,11635,11606,11683
13019,11607,1450,1412,72,0,65535,1807,100,11495,11509,11639,11623,11700
-,-,-,-,-,-,65535,1807,100,11500,11502,11637,11626,11709
13256,11607,1450,1649,72,1,65535,1807,100,11486,11494,11646,11620,11680
13378,11607,1450,1771,72,1,65535,1807,100,11533,11502,11649,11605,11673
13402,11607,1450,1795,72,1,65535,1807,100,11529,11518,11660,11635,11687
13423,11607,1450,1816,72,1,65535,1807,100,11540,11522,11595,11657,11718
13431,11607,1450,1824,72,1,65535,1807,100,11543,11495,11620,11657,11719
-,-,-,-,-,-,65535,1807,100,11531,11507,11630,11602,11683
13479,11607,1450,1872,72,1,65535,1807,100,11533,11509,11635,11625,11686
13492,11607,1450,1885,72,1,65535,1807,100,11552,11503,11660,11639,11702
13491,11607,1450,1884,72,1,65535,1807,100,11556,11518,11679,11659,11690
13491,11607,1450,1884,72,1,65535,1807,100,11543,11522,11659,11639,11681
13482,11607,1450,1875,72,1,65535,1807,100,11556,11521,11656,11672,11703
13067,11607,1450,1460,72,1,65535,1807,100,11550,11521,11628,11606,11688
12237,11607,1450,630,72,1,65535,1807,100,11528,11531,11592,11611,11660
11794,11607,1450,187,72,0,65535,1807,100,11535,11537,11616,11614,11651
11690,11607,1450,83,72,0,65535,1807,100,11521,11504,11603,11601,11658
11648,11607,1450,41,72,0,-,-,-,-,-,-,-,-
11618,11607,1450,11,72,0,65535,1807,100,11535,11492,11608,11587,11622
11612,11607,1450,5,72,0,-,-,-,-,-,-,-,-
11599,11607,1450,-8,72,0,65535,1807,100,11516,11480,11563,11605,11643
11593,11607,1450,-14,72,0,65535,1807,100,11496,11496,11582,11583,11671
11602,11607,1450,-5,72,0,65535,1807,100,11516,11497,11605,11580,11663
11601,11607,1450,-6,72,0,65535,1807,100,11521,11492,11640,11560,11674
11596,11607,1450,-11,72,0,-,-,-,-,-,-,-,-
11627,11607,1450,20,72,0,65535,1807,100,11514,11478,11663,11591,11672
12007,11607,1450,400,72,0,65535,1807,100,11492,11492,11634,11596,11692
