2025-04-30T15:54:04
Configurations(Methods):
Name,Touch Interfaces
config01,"Slider00, TS15, TS14, TS13, TS12, TS01"
Logs:
"config01:Slider00:Status",Threshold,Resolution,TS15:Measurement Value,TS14:Measurement Value,TS13:Measurement Value,TS12:Measurement Value,TS01:Measurement Value
99,1000,100,11653,11634,11651,11763,13323
100,1000,100,11615,11633,11648,11656,13095
100,1000,100,11626,11626,11660,11638,12231
65535,1000,100,11611,11602,11651,11619,11989
65535,1000,100,11584,11593,11628,11608,11786
65535,1000,100,11579,11584,11582,11588,11627
65535,1000,100,11597,11589,11609,11550,11609
65535,1000,100,11598,11589,11607,11525,11579
65535,1000,100,11591,11593,11625,11562,11550
65535,1000,100,11581,11595,11637,11564,11589
65535,1000,100,11576,11594,11592,11551,11597
65535,1000,100,11620,11645,11625,11594,11599
65535,1000,100,11582,11590,11608,11560,11577
65535,1000,100,11612,11606,11597,11592,11577
65535,1000,100,11586,11601,11619,11578,11742
100,1000,100,11590,11668,11633,11596,12206
99,1000,100,11622,11680,11627,11645,12500
99,1000,100,11632,11631,11648,11682,12858
99,1000,100,11601,11619,11633,11740,13177
97,1000,100,11618,11632,11666,12006,13078
90,1000,100,11615,11641,11690,12320,12674
74,1000,100,11593,11617,11717,12608,12299
70,1000,100,11623,11640,11784,13021,11884
69,1000,100,11616,11645,11832,13044,11815
69,1000,100,11612,11636,11970,13035,11741
64,1000,100,11592,11665,12344,12653,11606
54,1000,100,11625,11676,12676,12262,11652
50,1000,100,11651,11760,12995,11887,11566
49,1000,100,11626,11926,13014,11725,11612
46,1000,100,11649,12222,12699,11667,11620
33,1000,100,11675,12692,12152,11611,11616
28,1000,100,11974,12844,11700,11562,11595
27,1000,100,12113,12704,11663,11570,11603
65535,1000,100,12476,12341,11668,11577,11616
4,1000,100,12838,12063,11632,11579,11604
1,1000,100,13104,11804,11638,11607,11561
0,1000,100,13013,11635,11587,11579,11597
1,1000,100,12534,11636,11618,11605,11627
65535,1000,100,12061,11633,11594,11623,11627
65535,1000,100,11764,11708,11588,11604,11629
65535,1000,100,11643,11679,11578,11631,11608
65535,1000,100,11579,11568,11547,11563,11547
65535,1000,100,11579,11554,11581,11550,11568
65535,1000,100,11556,11549,11593,11539,11537
65535,1000,100,11588,11584,11561,11575,11541
65535,1000,100,11572,11569,11597,11527,11553
65535,1000,100,11600,11580,11563,11551,11521
65535,1000,100,11880,11624,11648,11620,11543
1,1000,100,12439,11622,11641,11616,11650
0,1000,100,13051,11728,11648,11615,11610
9,1000,100,12598,12248,11644,11596,11627
29,1000,100,11906,12972,11728,11587,11583
35,1000,100,11647,12623,12326,11666,11636
46,1000,100,11653,12200,12726,11706,11639
49,1000,100,11647,11811,13040,11751,11659
53,1000,100,11629,11723,12728,12194,11658
66,1000,100,11627,11650,12165,12760,11650
70,1000,100,11594,11601,11773,13038,11818
76,1000,100,11624,11610,11662,12566,12363
99,1000,100,11612,11623,11645,11747,13202
99,1000,100,11628,11619,11625,11717,13203
100,1000,100,11646,11621,11627,11620,12854
100,1000,100,11638,11672,11612,11601,12107
65535,1000,100,11648,11631,11617,11599,11786
65535,1000,100,11616,11614,11637,11579,11660
65535,1000,100,11618,11605,11588,11570,11599
65535,1000,100,11617,11598,11583,11593,11565
65535,1000,100,11613,11602,11629,11575,11580
65535,1000,100,11600,11601,11585,11566,11581
65535,1000,100,11597,11593,11602,11582,11570
65535,1000,100,11594,11607,11589,11588,11611
65535,1000,100,11625,11625,11618,11557,11618
65535,1000,100,11621,11619,11643,11622,11864
99,1000,100,11602,11648,11610,11645,12338
99,1000,100,11605,11631,11622,11697,13010
72,1000,100,11619,11630,11739,12750,12092
71,1000,100,11606,11637,11739,12880,11945
65,1000,100,11619,11713,12254,12680,11651
65535,1000,100,11618,11685,12535,12390,11646
50,1000,100,11630,11721,13002,11878,11633
47,1000,100,11597,12149,12837,11659,11633
33,1000,100,11641,12705,12204,11634,11637
28,1000,100,11980,13019,11695,11606,11588
23,1000,100,12340,12547,11651,11588,11601
2,1000,100,13002,11921,11635,11583,11569
0,1000,100,13231,11708,11632,11622,11592
0,1000,100,12946,11661,11587,11617,11610
1,1000,100,12229,11644,11643,11613,11612
65535,1000,100,11875,11669,11645,11590,11665
65535,1000,100,11664,11632,11644,11631,11658
65535,1000,100,11605,11584,11588,11570,11589
65535,1000,100,11604,11573,11534,11562,11581
65535,1000,100,11575,11590,11592,11577,11574
65535,1000,100,11603,11610,11575,11574,11572
65535,1000,100,11609,11601,11609,11579,11579
65535,1000,100,11613,11615,11603,11593,11529
65535,1000,100,11582,11609,11581,11594,11575
65535,1000,100,11600,11628,11647,11560,11618
65535,1000,100,11587,11592,11592,11567,11591
