2025-05-01T11:56:12
Configurations(Methods):
Name,Touch Interfaces
config01,"Button00, TS05"
config02,"Slider00, TS15, TS14, TS13, TS12, TS01"
Logs:
"config01:Button00:Measurement Value",Baseline,Threshold,Touch ON/OFF Difference,Hysteresis,Status,"config02:Slider00:Status",Threshold,Resolution,TS15:Measurement Value,TS14:Measurement Value,TS13:Measurement Value,TS12:Measurement Value,TS01:Measurement Value
11643,11633,1450,10,72,0,-,-,-,-,-,-,-,-
-,-,-,-,-,-,65535,1807,100,11510,11505,11637,11599,11530
-,-,-,-,-,-,65535,1807,100,11514,11514,11592,11553,11513
11636,11633,1450,3,72,0,65535,1807,100,11479,11499,11574,11606,11497
11607,11633,1450,-26,72,0,-,-,-,-,-,-,-,-
11613,11633,1450,-20,72,0,-,-,-,-,-,-,-,-
11624,11633,1450,-9,72,0,-,-,-,-,-,-,-,-
-,-,-,-,-,-,65535,1807,100,11495,11511,11611,11612,11472
11633,11633,1450,0,72,0,65535,1807,100,11512,11500,11619,11626,11537
11626,11633,1450,-7,72,0,65535,1807,100,11505,11503,11612,11607,11472
11614,11633,1450,-19,72,0,65535,1807,100,11520,11500,11646,11574,11465
11621,11633,1450,-12,72,0,65535,1807,100,11525,11482,11634,11528,11515
11645,11633,1450,12,72,0,65535,1807,100,11509,11490,11606,11615,11506
11638,11633,1450,5,72,0,65535,1807,100,11491,11485,11644,11610,11466
11647,11633,1450,14,72,0,65535,1807,100,11510,11526,11611,11584,11529
11623,11635,1450,-12,72,0,65535,1807,100,11496,11496,11593,11560,11522
11627,11635,1450,-8,72,0,65535,1807,100,11523,11485,11605,11577,11469
11621,11635,1450,-14,72,0,65535,1807,100,11509,11475,11621,11577,11502
11613,11635,1450,-22,72,0,65535,1807,100,11508,11493,11626,11570,11458
11592,11635,1450,-43,72,0,65535,1807,100,11493,11476,11633,11549,11477
11617,11635,1450,-18,72,0,65535,1807,100,11489,11484,11625,11581,11511
11625,11635,1450,-10,72,0,65535,1807,100,11487,11492,11625,11613,11533
11618,11635,1450,-17,72,0,65535,1807,100,11476,11492,11630,11629,11532
11630,11635,1450,-5,72,0,-,-,-,-,-,-,-,-
-,-,-,-,-,-,65535,1807,100,11511,11485,11606,11576,11511
11611,11635,1450,-24,72,0,65535,1807,100,11528,11487,11611,11550,11507
11631,11635,1450,-4,72,0,65535,1807,100,11516,11497,11623,11566,11504
11636,11635,1450,1,72,0,65535,1807,100,11524,11496,11645,11587,11499
11615,11635,1450,-20,72,0,65535,1807,100,11527,11490,11656,11605,11467
11627,11635,1450,-8,72,0,-,-,-,-,-,-,-,-
11616,11635,1450,-19,72,0,-,-,-,-,-,-,-,-
11616,11635,1450,-19,72,0,-,-,-,-,-,-,-,-
11636,11635,1450,1,72,0,65535,1807,100,11517,11485,11644,11596,11481
11615,11635,1450,-20,72,0,65535,1807,100,11508,11477,11646,11582,11487
11624,11635,1450,-11,72,0,65535,1807,100,11532,11478,11619,11565,11517
11633,11635,1450,-2,72,0,65535,1807,100,11505,11484,11597,11594,11481
11617,11635,1450,-18,72,0,65535,1807,100,11501,11477,11599,11562,11475
11614,11635,1450,-21,72,0,65535,1807,100,11486,11486,11619,11593,11499
11626,11635,1450,-9,72,0,65535,1807,100,11526,11490,11622,11591,11540
11608,11635,1450,-27,72,0,65535,1807,100,11521,11486,11617,11581,11520
11616,11635,1450,-19,72,0,65535,1807,100,11531,11489,11597,11598,11527
11617,11635,1450,-18,72,0,65535,1807,100,11528,11494,11630,11581,11491
11615,11635,1450,-20,72,0,65535,1807,100,11527,11486,11650,11603,11502
11625,11635,1450,-10,72,0,65535,1807,100,11521,11492,11631,11620,11543
11629,11635,1450,-6,72,0,65535,1807,100,11524,11497,11643,11588,11520
11631,11635,1450,-4,72,0,65535,1807,100,11496,11506,11648,11593,11512
11630,11635,1450,-5,72,0,65535,1807,100,11517,11507,11646,11589,11555
11631,11635,1450,-4,72,0,65535,1807,100,11526,11511,11668,11612,11562
11643,11635,1450,8,72,0,65535,1807,100,11526,11540,11634,11626,11484
11642,11635,1450,7,72,0,65535,1807,100,11515,11506,11638,11614,11502
11645,11635,1450,10,72,0,65535,1807,100,11533,11502,11620,11615,11520
11618,11635,1450,-17,72,0,65535,1807,100,11535,11504,11636,11566,11524
11633,11635,1450,-2,72,0,65535,1807,100,11539,11511,11646,11601,11539
11653,11635,1450,18,72,0,65535,1807,100,11531,11494,11654,11613,11505
11647,11635,1450,12,72,0,65535,1807,100,11499,11485,11661,11598,11517
11627,11635,1450,-8,72,0,65535,1807,100,11522,11481,11659,11581,11507
11635,11635,1450,0,72,0,65535,1807,100,11538,11481,11607,11600,11497
11642,11635,1450,7,72,0,65535,1807,100,11516,11500,11601,11612,11520
11610,11635,1450,-25,72,0,65535,1807,100,11507,11488,11621,11612,11520
11616,11635,1450,-19,72,0,65535,1807,100,11497,11469,11630,11601,11499
11612,11635,1450,-23,72,0,65535,1807,100,11500,11478,11602,11566,11485
11622,11635,1450,-13,72,0,65535,1807,100,11513,11482,11636,11549,11532
11618,11635,1450,-17,72,0,65535,1807,100,11500,11483,11634,11603,11471
11612,11635,1450,-23,72,0,65535,1807,100,11492,11459,11584,11598,11460
11617,11635,1450,-18,72,0,65535,1807,100,11519,11459,11584,11588,11488
11612,11635,1450,-23,72,0,65535,1807,100,11503,11474,11601,11593,11526
11602,11635,1450,-33,72,0,65535,1807,100,11519,11467,11588,11559,11526
11616,11635,1450,-19,72,0,-,-,-,-,-,-,-,-
11613,11635,1450,-22,72,0,-,-,-,-,-,-,-,-
11628,11635,1450,-7,72,0,65535,1807,100,11483,11483,11624,11607,11476
11632,11635,1450,-3,72,0,65535,1807,100,11489,11484,11585,11602,11457
11618,11623,1450,-5,72,0,65535,1807,100,11496,11465,11614,11565,11443
11605,11623,1450,-18,72,0,65535,1807,100,11507,11469,11626,11584,11486
11614,11623,1450,-9,72,0,65535,1807,100,11487,11476,11622,11573,11475
11597,11623,1450,-26,72,0,65535,1807,100,11514,11467,11603,11561,11494
11601,11623,1450,-22,72,0,65535,1807,100,11505,11474,11622,11524,11485
11601,11623,1450,-22,72,0,65535,1807,100,11493,11478,11612,11539,11488
11608,11623,1450,-15,72,0,-,-,-,-,-,-,-,-
11635,11623,1450,12,72,0,65535,1807,100,11503,11479,11613,11570,11539
11612,11623,1450,-11,72,0,65535,1807,100,11491,11480,11632,11606,11510
11590,11623,1450,-33,72,0,65535,1807,100,11509,11475,11611,11595,11504
11608,11623,1450,-15,72,0,-,-,-,-,-,-,-,-
11627,11623,1450,4,72,0,-,-,-,-,-,-,-,-
11621,11623,1450,-2,72,0,-,-,-,-,-,-,-,-
-,-,-,-,-,-,65535,1807,100,11519,11482,11572,11617,11534
11632,11623,1450,9,72,0,65535,1807,100,11531,11474,11615,11590,11537
11624,11623,1450,1,72,0,65535,1807,100,11496,11527,11589,11609,11546
11612,11623,1450,-11,72,0,65535,1807,100,11518,11495,11591,11584,11501
11623,11623,1450,0,72,0,65535,1807,100,11510,11490,11608,11586,11487
11623,11623,1450,0,72,0,65535,1807,100,11511,11537,11608,11606,11459
11615,11623,1450,-8,72,0,65535,1807,100,11491,11498,11631,11620,11498
11619,11623,1450,-4,72,0,65535,1807,100,11518,11502,11631,11585,11525
11604,11623,1450,-19,72,0,65535,1807,100,11525,11515,11644,11587,11532
