2025-05-01T08:17:39
Configurations(Methods):
Name,Touch Interfaces
config01,"Button00, TS05"
config02,"Slider00, TS15, TS14, TS13, TS12, TS01"
Logs:
"config01:Button00:Measurement Value",Baseline,Threshold,Touch ON/OFF Difference,Hysteresis,Status,"config02:Slider00:Status",Threshold,Resolution,TS15:Measurement Value,TS14:Measurement Value,TS13:Measurement Value,TS12:Measurement Value,TS01:Measurement Value
11584,11577,1450,7,72,0,65535,1807,100,11498,11483,11633,11590,11608
11609,11577,1450,32,72,0,65535,1807,100,11513,11514,11630,11603,11631
11586,11577,1450,9,72,0,65535,1807,100,11497,11496,11608,11601,11623
11575,11577,1450,-2,72,0,65535,1807,100,11495,11478,11581,11585,11592
11572,11577,1450,-5,72,0,65535,1807,100,11476,11519,11614,11605,11630
11585,11577,1450,8,72,0,65535,1807,100,11493,11472,11593,11622,11611
11601,11577,1450,24,72,0,-,-,-,-,-,-,-,-
11578,11577,1450,1,72,0,-,-,-,-,-,-,-,-
11583,11577,1450,6,72,0,65535,1807,100,11503,11513,11616,11605,11647
11586,11577,1450,9,72,0,65535,1807,100,11497,11485,11623,11559,11623
11581,11577,1450,4,72,0,65535,1807,100,11498,11479,11637,11592,11625
11574,11577,1450,-3,72,0,-,-,-,-,-,-,-,-
11575,11577,1450,-2,72,0,65535,1807,100,11501,11475,11627,11591,11651
11590,11577,1450,13,72,0,65535,1807,100,11491,11514,11599,11580,11642
11581,11577,1450,4,72,0,65535,1807,100,11476,11496,11613,11575,11646
11588,11577,1450,11,72,0,65535,1807,100,11509,11514,11638,11588,11642
11578,11577,1450,1,72,0,65535,1807,100,11517,11482,11641,11546,11606
11573,11577,1450,-4,72,0,65535,1807,100,11480,11476,11594,11558,11602
11582,11577,1450,5,72,0,65535,1807,100,11486,11470,11610,11596,11635
11564,11577,1450,-13,72,0,65535,1807,100,11472,11467,11602,11570,11638
11574,11577,1450,-3,72,0,65535,1807,100,11499,11468,11608,11607,11650
11579,11577,1450,2,72,0,65535,1807,100,11509,11483,11643,11586,11602
11597,11577,1450,20,72,0,65535,1807,100,11519,11482,11594,11592,11594
11602,11577,1450,25,72,0,65535,1807,100,11523,11513,11583,11602,11592
11601,11577,1450,24,72,0,-,-,-,-,-,-,-,-
11585,11577,1450,8,72,0,65535,1807,100,11503,11490,11609,11586,11617
11573,11577,1450,-4,72,0,65535,1807,100,11487,11488,11606,11594,11652
11587,11577,1450,10,72,0,65535,1807,100,11490,11478,11621,11606,11646
11590,11577,1450,13,72,0,65535,1807,100,11490,11485,11622,11606,11634
11588,11577,1450,11,72,0,65535,1807,100,11501,11489,11613,11585,11613
11587,11577,1450,10,72,0,65535,1807,100,11516,11493,11640,11581,11600
11585,11577,1450,8,72,0,65535,1807,100,11504,11530,11619,11602,11636
11600,11577,1450,23,72,0,65535,1807,100,11493,11496,11634,11573,11638
11602,11577,1450,25,72,0,65535,1807,100,11495,11496,11657,11610,11656
11595,11577,1450,18,72,0,65535,1807,100,11478,11505,11630,11570,11667
11610,11577,1450,33,72,0,65535,1807,100,11502,11515,11606,11579,11659
11592,11577,1450,15,72,0,65535,1807,100,11520,11493,11656,11578,11622
11603,11577,1450,26,72,0,65535,1807,100,11525,11493,11651,11582,11640
11583,11577,1450,6,72,0,-,-,-,-,-,-,-,-
11604,11577,1450,27,72,0,65535,1807,100,11535,11495,11635,11603,11641
-,-,-,-,-,-,65535,1807,100,11495,11512,11621,11565,11623
11603,11592,1450,11,72,0,65535,1807,100,11516,11494,11646,11602,11643
