变量1,变量2,变量3,变量4,变量5,变量6,变量7,变量8,变量9,变量10
0,11619,0.00,0,0,0,0,0,0.000,0
0,11631,0.00,0,0,0,0,0,0.000,0
0,11640,0.00,0,0,0,0,0,0.000,0
0,11605,0.00,0,0,0,0,0,0.000,0
0,11614,0.00,0,0,0,0,0,0.000,0
0,11619,0.00,0,0,0,0,0,0.000,0
0,11619,0.00,0,0,0,0,0,0.000,0
0,11604,0.00,0,0,0,0,0,0.000,0
0,11606,0.00,0,0,0,0,0,0.000,0
0,11608,0.00,0,0,0,0,0,0.000,0
0,11618,0.00,0,0,0,0,0,0.000,0
0,11622,0.00,0,0,0,0,0,0.000,0
0,11591,0.00,0,0,0,0,0,0.000,0
0,11593,0.00,0,0,0,0,0,0.000,0
0,11572,0.00,0,0,0,0,0,0.000,0
0,11562,0.00,0,0,0,0,0,0.000,0
0,11579,0.00,0,0,0,0,0,0.000,0
0,11579,0.00,0,0,0,0,0,0.000,0
0,11589,0.00,0,0,0,0,0,0.000,0
0,11590,0.00,0,0,0,0,0,0.000,0
0,11565,0.00,0,0,0,0,0,0.000,0
0,11575,0.00,0,0,0,0,0,0.000,0
0,11597,0.00,0,0,0,0,0,0.000,0
0,11599,0.00,0,0,0,0,0,0.000,0
0,11615,0.00,0,0,0,0,0,0.000,0
0,11621,0.00,0,0,0,0,0,0.000,0
0,11617,0.00,0,0,0,0,0,0.000,0
0,11618,0.00,0,0,0,0,0,0.000,0
0,11613,0.00,0,0,0,0,0,0.000,0
0,11611,0.00,0,0,0,0,0,0.000,0
0,11615,0.00,0,0,0,0,0,0.000,0
0,11582,0.00,0,0,0,0,0,0.000,0
0,11598,0.00,0,0,0,0,0,0.000,0
0,11607,0.00,0,0,0,0,0,0.000,0
0,11579,0.00,0,0,0,0,0,0.000,0
0,11579,0.00,0,0,0,0,0,0.000,0
0,11586,0.00,0,0,0,0,0,0.000,0
0,11559,0.00,0,0,0,0,0,0.000,0
0,11572,0.00,0,0,0,0,0,0.000,0
0,11589,0.00,0,0,0,0,0,0.000,0
0,11596,0.00,0,0,0,0,0,0.000,0
0,11602,0.00,0,0,0,0,0,0.000,0
0,11611,0.00,0,0,0,0,0,0.000,0
0,11622,0.00,0,0,0,0,0,0.000,0
0,11631,0.00,0,0,0,0,0,0.000,0
0,11631,0.00,0,0,0,0,0,0.000,0
0,11642,0.00,0,0,0,0,0,0.000,0
